Ciudades,Palmira,Pasto,Tuluá,Bogotá,Pereira,Armenia,Manizales,Valledupar,Montería,Soledad,Cartagena,Barranquilla,Medellín,Bucaramanga,Cúcuta
Palmira,0,"332.371,60","72.570,35","411.478,49","166.218,72","146.935,35","220.462,03","907.093,29","816.177,63","1.065.625,07","1.020.599,51","1.074.954,09","404.010,27","626.440,85","802.993,23"
Pasto,"332.371,60",0,"393.093,02","693.685,43","486.725,66","467.342,29","540.868,97","1.228.500,23","1.136.579,68","1.386.032,01","1.341.006,45","1.395.356,13","724.417,21","946.968,43","1.108.020,80"
Tuluá,"72.570,35","393.093,02",0,"342.049,63","96.889,85","77.506,49","150.912,53","838.664,43","746.743,87","996.075,58","951.170,64","1.005.520,33","334.581,40","556.811,99","733.564,37"
Bogotá,"411.478,49","693.685,43","342.049,63",0,"320.697,13","282.046,60","290.118,98","683.491,97","708.048,91","837.296,35","802.670,79","846.746,00","406.124,74","354.369,01","458.709,80"
Pereira,"166.218,72","486.725,66","96.889,85","320.697,13",0,"54.078,40","56.668,63","745.568,24","661.909,03","971.961,36","866.335,80","920.685,49","249.746,56","463.915,80","640.468,18"
Armenia,"146.935,35","467.342,29","77.506,49","282.046,60","54.078,40",0,"109.990,46","762.132,76","715.110,23","964.562,56","919.537,00","974.007,32","303.063,50","480.596,07","657.032,71"
Manizales,"220.462,03","540.868,97","150.912,53","290.118,98","56.668,63","109.990,46",0,"693.035,79","633.782,74","883.235,07","838.209,51","892.559,19","221.620,27","411.499,10","587.930,84"
Valledupar,"907.093,29","1.228.500,23","838.664,43","683.491,97","745.568,24","762.132,76","693.035,79",0,"429.789,28","338.443,21","427.345,60","341.917,65","620.211,66","376.079,87","435.405,17"
Montería,"816.177,63","1.136.579,68","746.743,87","708.048,91","661.909,03","715.110,23","633.782,74","429.789,28",0,"299.016,99","253.310,38","308.341,12","417.146,19","525.972,80","600.970,02"
Soledad,"1.065.625,07","1.386.032,01","996.075,58","837.296,35","971.961,36","964.562,56","883.235,07","338.443,21","299.016,99",0,"112.473,02","14.350,73","666.994,76","567.659,57","626.989,76"
Cartagena,"1.020.599,51","1.341.006,45","951.170,64","802.670,79","866.335,80","919.537,00","838.209,51","427.345,60","253.310,38","112.473,02",0,"113.802,78","620.764,35","535.504,68","594.829,98"
Barranquilla,"1.074.954,09","1.395.356,13","1.005.520,33","846.746,00","920.685,49","974.007,32","892.559,19","341.917,65","308.341,12","14.350,73","113.802,78",0,"684.450,78","585.120,48","644.450,67"
Medellín,"404.010,27","724.417,21","334.581,40","406.124,74","249.746,56","303.063,50","221.620,27","620.211,66","417.146,19","666.994,76","620.764,35","684.450,78",0,"337.486,35","514.038,73"
Bucaramanga,"626.440,85","946.968,43","556.811,99","354.369,01","463.915,80","480.596,07","411.499,10","376.079,87","525.972,80","567.659,57","535.504,68","585.120,48","337.486,35",0,"178.009,82"
Cúcuta,"802.993,23","1.108.020,80","733.564,37","458.709,80","640.468,18","657.032,71","587.930,84","435.405,17","600.970,02","626.989,76","594.829,98","644.450,67","514.038,73","178.009,82",0
